s_center,x,y,yaw,curvature,steering,d_delta_ds,segment_length,lateral_offset,speed_85,accel_85,steering_rate_85
3.570796327,3.570796327,-6.340575610,0.101337812,0.042967495,0.042941082,-0.002619745,0.099722221,-1.340575610,9.000000000,0.000000000,-0.023577703
3.669985114,3.669985114,-6.330274833,0.105609555,0.042705092,0.042679160,-0.002632892,0.099767259,-1.330274833,9.000000000,0.000000000,-0.023696030
3.769173901,3.769173901,-6.319546803,0.109856978,0.042441303,0.042415848,-0.002645231,0.099813876,-1.319546803,9.000000000,0.000000000,-0.023807079
3.868362687,3.868362687,-6.308393576,0.114079990,0.042176203,0.042151222,-0.002656772,0.099862044,-1.308393576,9.000000000,0.000000000,-0.023910949
3.967551474,3.967551474,-6.296817203,0.118278504,0.041909866,0.041885354,-0.002667527,0.099911734,-1.296817203,9.000000000,0.000000000,-0.024007742
4.066740261,4.066740261,-6.284819739,0.122452437,0.041642365,0.041618320,-0.002677507,0.099962918,-1.284819739,9.000000000,0.000000000,-0.024097563
4.165929048,4.165929048,-6.272403238,0.126601714,0.041373772,0.041350189,-0.002686724,0.100015568,-1.272403238,9.000000000,0.000000000,-0.024180519
4.265117835,4.265117835,-6.259569752,0.130726261,0.041104158,0.041081033,-0.002695191,0.100069656,-1.259569752,9.000000000,0.000000000,-0.024256722
4.364306622,4.364306622,-6.246321336,0.134826009,0.040833593,0.040810921,-0.000974625,0.100125154,-1.246321336,9.000000000,0.000000000,-0.008771628
4.463495408,4.463495408,-6.232660042,0.138918266,0.040908715,0.040885918,0.007631891,0.100182527,-1.232660042,9.000000000,0.000000000,0.068687022
4.562684195,4.562684195,-6.218584412,0.143089660,0.042364965,0.042339647,0.016172360,0.100243825,-1.218584412,9.000000000,0.000000000,0.145551240
4.661872982,4.661872982,-6.204078933,0.147426395,0.044155949,0.044127285,0.017758711,0.100309761,-1.204078933,9.000000000,0.000000000,0.159828401
4.761061769,4.761061769,-6.189124580,0.151944972,0.045933484,0.045901220,0.017604704,0.100380582,-1.189124580,9.000000000,-1.369350611,0.158442337
4.860250556,4.860250556,-6.173702327,0.156644452,0.047696499,0.047660379,0.017439070,0.100456545,-1.173702327,8.984714107,-4.500000000,0.156685055
4.959439343,4.959439343,-6.157793148,0.161523821,0.049443866,0.049403633,0.017261301,0.100537913,-1.157793148,8.934258709,-4.500000000,0.154216932
5.058628130,5.058628130,-6.141378020,0.166581986,0.051174407,0.051129805,0.017070902,0.100624960,-1.141378020,8.883475528,-4.500000000,0.151648941
5.157816916,5.157816916,-6.124437915,0.171817771,0.052886891,0.052837665,0.016867388,0.100717970,-1.124437915,8.832356017,-4.500000000,0.148978774
5.257005703,5.257005703,-6.106953809,0.177229914,0.054580035,0.054525934,0.016650292,0.100817233,-1.106953809,8.780891247,-4.500000000,0.146204402
5.356194490,5.356194490,-6.088906676,0.182817062,0.056252506,0.056193285,0.016419169,0.100923050,-1.088906676,8.729071886,-4.500000000,0.143324110
5.455383277,5.455383277,-6.070277491,0.188577767,0.057902923,0.057838342,0.016173602,0.101035729,-1.070277491,8.676888183,-4.500000000,0.140336535
5.554572064,5.554572064,-6.051047228,0.194510484,0.059529857,0.059459686,0.015913201,0.101155585,-1.051047228,8.624329944,-4.500000000,0.137240700
5.653760851,5.653760851,-6.031196862,0.200613566,0.061131835,0.061055853,0.015637616,0.101282944,-1.031196862,8.571386511,-4.500000000,0.134036055
5.752949638,5.752949638,-6.010707368,0.206885261,0.062707341,0.062625342,0.015346535,0.101418137,-1.010707368,8.518046738,-4.500000000,0.130722506
5.852138424,5.852138424,-5.989559720,0.213323709,0.064254823,0.064166612,0.015039692,0.101561501,-0.989559720,8.464298966,-4.500000000,0.127300453
5.951327211,5.951327211,-5.967734892,0.219926936,0.065772693,0.065678093,0.014716872,0.101713383,-0.967734892,8.410131003,-4.500000000,0.123770821
6.050515998,6.050515998,-5.945213860,0.226692855,0.067259331,0.067158183,0.014377913,0.101874135,-0.945213860,8.355530087,-4.500000000,0.120135086
6.149704785,6.149704785,-5.921977598,0.233619261,0.068713094,0.068605257,0.014022715,0.102044114,-0.921977598,8.300482867,-4.500000000,0.116395307
6.248893572,6.248893572,-5.898007080,0.240703828,0.070132315,0.070017670,0.013651241,0.102223684,-0.898007080,8.244975367,-4.500000000,0.112554148
6.348082359,6.348082359,-5.873283282,0.247944106,0.071515313,0.071393766,0.013263523,0.102413216,-0.873283282,8.188992956,-4.500000000,0.108614896
6.447271146,6.447271146,-5.847787177,0.255337523,0.072860397,0.072731877,0.012859664,0.102613083,-0.847787177,8.132520316,-4.500000000,0.104581483
6.546459932,6.546459932,-5.821499740,0.262881378,0.074165873,0.074030335,0.011626688,0.102823664,-0.821499740,8.075541403,-4.500000000,0.093891802
6.645648719,6.645648719,-5.794401946,0.270564169,0.075262049,0.075120426,-0.008145617,0.103044840,-0.794401946,8.018039409,-4.500000000,-0.065311880
6.744837506,6.744837506,-5.766476622,0.278175769,0.072479931,0.072353409,-0.045066134,0.103265091,-0.766476622,7.959997011,-4.500000000,-0.358726292
6.844026293,6.844026293,-5.737749221,0.285320368,0.065918062,0.065822835,-0.063499636,0.103471686,-0.737749221,7.901402824,-4.500000000,-0.501736205
6.943215080,6.943215080,-5.708287818,0.291797178,0.059295045,0.059225699,-0.063245971,0.103662722,-0.708287818,7.842252318,-4.500000000,-0.495990860
7.042403867,7.042403867,-5.678162340,0.297604626,0.052771322,0.052722418,-0.062266973,0.103836943,-0.678162340,7.782541804,-4.500000000,-0.484595323
7.141592654,7.141592654,-5.647442717,0.302749253,0.046338447,0.046305323,-0.061379350,0.103993235,-0.647442717,7.722268089,-4.500000000,-0.473987793
7.240781440,7.240781440,-5.616198877,0.307237005,0.039987229,0.039965937,-0.060589943,0.104130624,-0.616198877,7.661428413,-4.500000000,-0.464205508
7.339970227,7.339970227,-5.584500749,0.311073188,0.033707868,0.033695110,-0.059904312,0.104248268,-0.584500749,7.600020376,-4.500000000,-0.455273995
7.439159014,7.439159014,-5.552418262,0.314262425,0.027490064,0.027483142,-0.059326907,0.104345464,-0.552418262,7.538041874,-4.500000000,-0.447208711
7.538347801,7.538347801,-5.520021343,0.316808615,0.021323120,0.021319889,-0.058861210,0.104421635,-0.520021343,7.475491029,-4.500000000,-0.440016447
7.637536588,7.637536588,-5.487379921,0.318714912,0.015196028,0.015194858,-0.058509860,0.104476337,-0.487379921,7.412366114,-4.500000000,-0.433696507
7.736725375,7.736725375,-5.454563925,0.319983697,0.009097549,0.009097298,-0.058274753,0.104509253,-0.454563925,7.348665483,-4.500000000,-0.428241665
7.835914162,7.835914162,-5.421643284,0.320616568,0.003016284,0.003016275,-0.058157109,0.104520195,-0.421643284,7.284387489,-4.500000000,-0.423638918
7.935102948,7.935102948,-5.388687926,0.320614322,-0.003059260,-0.003059250,-0.058157527,0.104509098,-0.388687926,7.219530410,-4.500000000,-0.419870034
8.034291735,8.034291735,-5.355767779,0.319976958,-0.009140606,-0.009140352,-0.058276004,0.104476026,-0.355767779,7.154092358,-4.500000000,-0.416911917
8.133480522,8.133480522,-5.322952773,0.318703670,-0.015239248,-0.015238068,-0.058511939,0.104421171,-0.322952773,7.088071192,-4.500000000,-0.414736789
8.232669309,8.232669309,-5.290312835,0.316792857,-0.021366583,-0.021363332,-0.058864105,0.104344850,-0.290312835,7.021464426,-4.500000000,-0.413312218
8.331858096,8.331858096,-5.257917894,0.314242131,-0.027533848,-0.027526893,-0.059330602,0.104247507,-0.257917894,6.954269123,-4.500000000,-0.412600976
